epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9432,3.48166,6.84645,0.0108,0.01064,0.16667,0.01179,0.00118,3.4746,6.17101,0.01381,0.000611111,0.000611111,0.000611111
2,61.8214,3.08489,3.19582,0.00927,0.3682,0.33333,0.18733,0.04077,3.92313,3.49829,0.01548,0.00126197,0.00126197,0.00126197
3,95.3661,2.78898,1.21973,0.00731,0.41857,0.5,0.31933,0.13209,2.71116,1.63468,0.00936,0.00189632,0.00189632,0.00189632
4,127.581,2.49009,1.12137,0.00617,0.96023,1,0.995,0.34924,2.37132,0.79672,0.00621,0.00192575,0.00192575,0.00192575
5,154.144,2.49399,1.14313,0.00602,0.80559,1,0.97214,0.54293,1.85507,0.75012,0.00459,0.001901,0.001901,0.001901
6,188.682,2.17636,1.2032,0.00495,0.80559,1,0.97214,0.54293,1.85507,0.75012,0.00459,0.00187625,0.00187625,0.00187625
7,230.203,2.2903,1.13971,0.00545,0.72593,0.88768,0.92667,0.48984,1.8434,0.70921,0.00464,0.0018515,0.0018515,0.0018515
8,271.901,1.92955,0.86612,0.00432,0.81109,0.66667,0.89394,0.45022,1.60362,0.92655,0.00404,0.00182675,0.00182675,0.00182675
9,313.1,1.91761,0.89586,0.00442,0.86475,0.83333,0.955,0.45986,1.55612,0.75906,0.00394,0.001802,0.001802,0.001802
10,355.829,2.09326,0.80378,0.00459,0.86475,0.83333,0.955,0.45986,1.55612,0.75906,0.00394,0.00177725,0.00177725,0.00177725
11,386.101,1.73387,0.81611,0.00388,1,0.97333,0.995,0.48847,1.56594,0.72659,0.00391,0.0017525,0.0017525,0.0017525
12,412.048,1.9019,0.72886,0.00423,0.98567,1,0.995,0.53496,1.51124,0.60756,0.00372,0.00172775,0.00172775,0.00172775
13,439.337,1.90681,0.6244,0.00425,1,0.99247,0.995,0.56429,1.38844,0.55124,0.00339,0.001703,0.001703,0.001703
14,465.902,1.7486,0.56165,0.00379,1,0.99247,0.995,0.56429,1.38844,0.55124,0.00339,0.00167825,0.00167825,0.00167825
15,493.63,1.55041,0.60692,0.0035,1,0.99968,0.995,0.61571,1.25704,0.46719,0.003,0.0016535,0.0016535,0.0016535
16,522.417,1.51244,0.49421,0.00327,0.98481,1,0.995,0.64687,1.22617,0.38725,0.00289,0.00162875,0.00162875,0.00162875
17,552.714,1.71545,0.62161,0.00384,0.84903,1,0.97214,0.54459,1.39723,0.54542,0.00329,0.001604,0.001604,0.001604
18,579.511,1.70736,0.62438,0.00359,0.84903,1,0.97214,0.54459,1.39723,0.54542,0.00329,0.00157925,0.00157925,0.00157925
19,607.928,1.49576,0.55785,0.00335,0.84608,1,0.97214,0.57215,1.56566,0.4457,0.0038,0.0015545,0.0015545,0.0015545
20,652.515,1.41528,0.52,0.00301,0.84569,1,0.97214,0.55601,1.552,0.44521,0.00376,0.00152975,0.00152975,0.00152975
21,703.667,1.46534,0.4468,0.00318,1,0.98831,0.995,0.55123,1.52862,0.43142,0.00361,0.001505,0.001505,0.001505
22,750.902,1.4384,0.59533,0.00302,1,0.98831,0.995,0.55123,1.52862,0.43142,0.00361,0.00148025,0.00148025,0.00148025
23,794.097,1.34502,0.46815,0.00279,1,0.99154,0.995,0.54474,1.57786,0.48882,0.00378,0.0014555,0.0014555,0.0014555
24,821.007,1.47372,0.60699,0.00298,0.99122,1,0.995,0.54853,1.59063,0.38585,0.00388,0.00143075,0.00143075,0.00143075
25,846.632,1.3739,0.41949,0.0027,0.9893,1,0.995,0.54237,1.61018,0.399,0.00385,0.001406,0.001406,0.001406
26,872.687,1.54466,0.43438,0.00328,0.9893,1,0.995,0.54237,1.61018,0.399,0.00385,0.00138125,0.00138125,0.00138125
27,899.04,1.28527,0.41109,0.00265,0.9907,1,0.995,0.52119,1.61442,0.38399,0.00381,0.0013565,0.0013565,0.0013565
28,926.038,1.53805,0.53943,0.0032,0.99118,1,0.995,0.47669,1.72496,0.41367,0.00412,0.00133175,0.00133175,0.00133175
29,951.773,1.46101,0.59013,0.00306,0.99133,1,0.995,0.47858,1.70228,0.40458,0.00408,0.001307,0.001307,0.001307
30,977.917,1.41518,0.48821,0.00286,0.99133,1,0.995,0.47858,1.70228,0.40458,0.00408,0.00128225,0.00128225,0.00128225
31,1003.49,1.55167,0.51614,0.00309,0.99082,1,0.995,0.51183,1.71341,0.39833,0.00417,0.0012575,0.0012575,0.0012575
